ENTIDAD,AÑO,ENERO,FEBRERO,MARZO,ABRIL,MAYO,JUNIO,JULIO,AGOSTO,SEPTIEMBRE,OCTUBRE,NOVIEMBRE,DICIEMBRE,UNIDAD DE MEDICION
AGUASCALIENTES,1985,20.71277916,23.74090296,26.51755583,26.51333333,30.24569373,26.44056604,24.57164563,25.71302495,26.62871795,25.65105459,24.20602564,21.89580645,°C
BAJA CALIFORNIA,1985,17.56280837,19.54868385,20.53176785,26.05618636,26.95163878,32.0196265,34.4529956,34.59873498,29.79217497,27.08441214,21.31061131,20.50911157,°C
BAJA CALIFORNIA SUR,1985,22.65909675,24.27199074,27.01645424,28.98775758,31.57931325,33.37950136,35.28316845,35.56627325,34.78944513,31.87999409,27.71311728,26.1511453,°C
CAMPECHE,1985,29.95471821,31.7934264,34.53997265,34.74894174,35.79028276,34.99067578,34.37390083,34.65489736,33.81651767,32.92126643,32.36237701,30.60633641,°C
COAHUILA  DE ZARAGOZA,1985,15.06098704,19.34067725,25.64473865,27.62416268,31.28665472,31.87382989,31.99772657,32.13200873,31.03371076,27.79277315,25.69045093,20.99959417,°C
COLIMA,1985,30.49423963,31.90943878,33.08376691,32.88001593,33.54424957,33.34788395,31.43835125,32.17234767,32.04313748,32.13175365,31.27142857,31.5278438,°C
CHIAPAS,1985,28.08390708,29.15427074,31.22523393,31.71478293,32.27390915,30.54155839,29.95154039,30.00003868,29.62905352,29.50472407,29.11049086,28.52087446,°C
CHIHUAHUA,1985,14.12460978,18.29057533,22.40088687,25.33807042,30.39848002,31.95232094,30.48725093,30.49377955,27.44743119,24.921523,21.37863739,19.12375967,°C
DISTRITO FEDERAL,1985,21.07929339,22.52,25.32620968,23.09942857,25.44884793,23.15419048,22.09563567,23.02298003,22.8827619,23.04001257,22.76617647,21.0743833,°C
DURANGO,1985,17.82066386,21.0265997,25.68136762,26.2289831,31.42946007,30.08021501,27.2499202,28.11513368,27.30767827,26.17564743,23.52621189,20.71734455,°C
GUANAJUATO,1985,22.0776822,24.06571429,26.99709438,27.3393985,29.86650936,26.67933333,24.90986858,25.73502304,26.08769424,25.71793244,24.64974359,22.74558798,°C
GUERRERO,1985,30.38852845,31.37018283,33.00489142,33.56032392,33.62000997,30.93773238,29.69692213,29.73492437,29.94384895,30.49793989,30.61029523,30.68950247,°C
HIDALGO,1985,21.07199606,22.80010739,25.06276563,24.64757895,26.0926945,24.12528615,22.7602513,23.93967223,23.87057481,23.4786744,23.44418505,21.44726411,°C
JALISCO,1985,24.69836367,27.38048942,29.99533832,30.62611948,32.95467152,29.33370361,27.29417703,28.32536983,28.87248634,28.65773614,27.55431744,26.24766156,°C
MÉXICO,1985,20.53703224,21.84169246,24.05863066,23.66948315,24.59235112,21.94272335,21.11242884,21.51374657,21.78043504,22.11334247,21.92199645,20.75721519,°C
MICHOACÁN DE OCAMPO,1985,26.03925734,27.73263583,30.01521912,30.83243315,31.69086646,28.63643817,26.83839506,27.1345983,27.65832823,27.47802345,26.76937436,25.7348295,°C
MORELOS,1985,28.02054861,29.27938085,31.33265843,32.01356383,32.17352631,27.96097222,26.91466444,27.91209105,26.91673077,27.28532878,27.28380637,27.16736243,°C
NAYARIT,1985,27.30376344,29.20381494,31.78762407,32.35291667,34.69489247,33.61724138,32.04233871,32.41256367,32.22018518,32.52534562,30.12083333,28.34408602,°C
NUEVO LEÓN,1985,17.76376314,20.79209603,26.55392707,28.29681108,31.03035888,31.85105694,32.47692405,33.62798554,31.74240033,28.15451904,26.24099578,20.41854334,°C
OAXACA,1985,27.06803448,27.8555086,29.12193851,30.58243937,30.24867566,28.63912377,28.18650648,28.06390041,28.43516615,28.0544158,28.01485348,27.10563277,°C
PUEBLA,1985,23.02516988,23.59463794,25.63057445,25.81232786,27.66989715,25.96917191,24.71744414,24.91708081,25.17631884,24.10059022,23.88404708,22.27423882,°C
QUERÉTARO,1985,22.31758833,24.35032738,27.71439398,27.76116667,29.03846154,26.42754386,26.01290323,26.34607113,26.49230769,26.0210091,25.15753691,22.67875,°C
QUINTANA ROO,1985,28.75784946,30.09317549,32.24935484,32.61139785,33.78924731,34.0930628,33.55187097,33.08688866,32.72078927,31.66659729,31.0678125,28.76902094,°C
SAN LUIS POTOSÍ,1985,21.54886971,24.17328424,27.81089932,28.43236186,30.89203281,29.40067485,27.9675057,29.64350439,29.35511943,28.16971722,26.79817333,22.90010323,°C
SINALOA,1985,25.05272308,27.38964991,30.07679226,32.30757805,35.37905243,35.84128416,34.30836214,34.43293181,33.68429065,33.13098035,30.28529066,28.65810703,°C
SONORA,1985,20.2742156,23.13338055,26.29062512,30.92587103,34.39665899,37.87515368,36.89783199,35.8136583,34.06271476,30.69119574,25.9297273,24.18214035,°C
TABASCO,1985,27.40126728,29.26854396,32.72747909,33.65976191,35.1390553,34.56267348,33.99859748,34.24193548,33.60202899,32.77223001,31.67287879,28.4654979,°C
TAMAULIPAS,1985,20.63095184,23.37242041,29.35011947,30.73008671,32.92623855,32.91635266,32.93291221,34.70382416,33.73787052,31.61637137,29.50626697,23.43819559,°C
TLAXCALA,1985,20.30478309,21.28423645,23.28676307,22.50411111,24.11355959,21.43555556,20.65026015,21.87551162,21.77494624,21.63309053,21.61537634,19.88647242,°C
VERACRUZ DE IGNACIO DE LA LLAVE,1985,23.23145648,24.16877777,27.95470476,29.76127816,31.71949922,30.59862966,29.19593124,29.95412752,29.83523896,28.68433587,27.78506406,24.54899692,°C
YUCATÁN,1985,30.08472291,31.44864719,33.33812317,33.58861538,34.93317972,35.08722222,34.25993756,34.40597567,33.57338889,32.49790323,31.59982759,29.24182425,°C
ZACATECAS,1985,19.67842225,22.5541372,26.03525882,26.53511687,30.47960697,27.32793234,25.46984782,26.58212829,26.92088353,25.86473143,24.33950617,22.04126519,°C
AGUASCALIENTES,1986,21.89993797,23.95502292,24.97184751,29.04753086,29.73417712,26.28090909,25.28464755,27.13584906,26.397,23.92249104,24.11450617,21.61077298,°C
BAJA CALIFORNIA,1986,22.65383341,21.46994491,23.71946577,26.01730204,27.774792,31.41558968,32.82432174,34.15764305,29.26525851,26.78174188,24.06544262,20.33976387,°C
BAJA CALIFORNIA SUR,1986,27.3150605,26.78451278,28.35983648,32.22046351,31.1149195,33.14562422,34.88217396,35.45916451,34.17472281,31.15127325,28.93418172,25.03899791,°C
CAMPECHE,1986,29.38134092,32.84635854,33.43846154,36.45686275,36.46710942,34.84312925,34.62945042,34.99082859,34.49404762,33.91580645,32.85608974,31.98185484,°C
COAHUILA  DE ZARAGOZA,1986,20.2378635,24.02333533,26.30828939,30.34473767,31.53398571,30.7452781,31.69949259,32.8856482,30.06143473,25.53712067,23.22587586,18.27935667,°C
COLIMA,1986,31.25245442,31.22794444,31.8699626,33.4947619,33.98016129,33.83181818,32.65422776,33.52487144,32.68101427,31.7157143,32.91966087,31.86688865,°C
CHIAPAS,1986,27.36258573,30.07061664,30.07826509,32.46431272,31.64270848,30.52596394,30.11954301,30.30663145,30.10903555,29.77002321,29.76609756,29.29527435,°C
CHIHUAHUA,1986,18.84469258,21.24079212,22.8316617,28.18973851,30.1216209,31.15270402,29.11941373,29.65420448,28.07056513,24.6743899,20.55165217,15.28505184,°C
DISTRITO FEDERAL,1986,20.6346514,23.40963203,24.69015457,26.31516996,25.37991675,23.64264009,23.26656922,23.76916654,23.89774194,22.9043427,22.889,21.93548387,°C
