ENTIDAD,AÑO,ENERO,FEBRERO,MARZO,ABRIL,MAYO,JUNIO,JULIO,AGOSTO,SEPTIEMBRE,OCTUBRE,NOVIEMBRE,DICIEMBRE,UNIDAD DE MEDICION
AGUASCALIENTES,1985,3.221408402,4.910797222,7.586228288,9.002515723,12.12076409,12.67106918,11.67277615,11.61229458,11.12339744,9.974937965,5.723525641,4.688064516,°C
BAJA CALIFORNIA,1985,4.541772243,4.492058774,6.122259112,9.51339873,11.07792131,13.64014504,17.60589187,16.91184424,13.76002874,11.8255567,7.143195725,5.28359396,°C
BAJA CALIFORNIA SUR,1985,8.745975149,8.41152519,10.72165905,12.24921432,13.96416999,16.77655924,20.60241277,21.63306056,20.12466667,16.27475265,12.72372134,9.639974169,°C
CAMPECHE,1985,15.90956618,16.9161352,18.99192158,19.64172414,20.97968937,21.09474548,20.83061686,20.72492669,20.63401235,20.17114695,18.74853333,18.09187788,°C
COAHUILA  DE ZARAGOZA,1985,1.816757436,4.797650376,10.38863501,12.091697,15.69876045,16.87271111,16.75526882,17.51482001,16.27870647,12.90081512,10.73317197,5.449635796,°C
COLIMA,1985,15.07776498,13.88711735,15.07970864,15.43465608,17.27354875,20.61047295,19.88454437,20.37794265,19.32217742,19.29069659,16.63492063,15.48325788,°C
CHIAPAS,1985,13.86592842,14.95944211,16.81840394,17.7865418,18.71732893,18.97618524,18.36210773,18.34011758,18.1799111,17.98482369,16.76342186,16.09145911,°C
CHIHUAHUA,1985,-1.286481096,-0.499318863,4.230034004,6.869990542,11.12118204,14.15341598,15.09740394,15.23609711,12.15373089,7.241080557,3.017073386,-2.187889078,°C
DISTRITO FEDERAL,1985,4.899800307,5.791530612,8.117137097,8.542285714,9.794285714,11.18333333,10.0572802,10.48175115,10.11961905,9.040397989,6.208431373,5.636812144,°C
DURANGO,1985,0.958695652,2.463839286,6.378649662,7.486862745,11.66851255,13.95447059,12.87760597,13.79252113,12.54071918,8.779539603,4.716425121,1.498129967,°C
GUANAJUATO,1985,5.143942652,6.404656085,9.306519621,10.6458396,12.81161725,13.36646914,12.75753086,12.59796265,11.74145363,10.66200152,7.373179487,5.957100188,°C
GUERRERO,1985,15.49334835,15.31617749,17.09455012,18.22098241,19.7873088,19.81906932,18.9570034,18.94492025,18.72361142,18.7490148,16.758849,16.15986402,°C
HIDALGO,1985,3.624008686,4.826124095,7.057652471,8.553784461,9.363464411,11.03130067,10.22810197,10.07371543,9.442011581,7.999848903,5.532742327,5.102532998,°C
JALISCO,1985,6.900143439,7.878308992,10.11024815,11.24883591,14.05651869,15.85167544,15.21117016,15.19545455,14.83938749,13.90299079,9.387548857,8.202388889,°C
